00918	200,5,18.4180126,-66.0671709
00919	200,5,18.4683000,-66.1061000
00920	200,5,60.2200837,25.0658787
00921	200,5,18.3934227,-66.0909634
00922	200,5,18.4683000,-66.1061000
00923	200,5,18.4140536,-66.0374319
00924	200,5,18.3974088,-66.0166157
00925	200,5,18.4005746,-66.0508142
00926	200,5,18.3419118,-66.0582490
00927	200,5,18.3807433,-66.0790670
00928	200,5,18.4683000,-66.1061000
00929	200,5,18.4683000,-66.1061000
00930	200,5,60.2040444,25.0839355
00931	200,5,18.4683000,-66.1061000
00933	200,5,18.4683000,-66.1061000
00934	200,5,18.4128327,-66.1221928
00935	200,5,18.4683000,-66.1061000
00936	200,5,18.4683000,-66.1061000
00937	200,5,18.4683000,-66.1061000
00938	200,5,18.4551000,-66.0548000
00939	200,5,18.4683000,-66.1061000
00940	200,5,18.4551000,-66.0548000
00949	200,5,18.4305854,-66.2248174
00950	200,5,60.2294643,25.1115534
00951	200,5,18.4456000,-66.2600000
00952	200,5,18.4233005,-66.1749898
00953	200,5,18.3670614,-66.2486173
00954	200,5,18.3905000,-66.2487000
00955	200,5,18.4697000,-66.1179000
00956	200,5,18.3323042,-66.1534242
00957	200,5,18.3163687,-66.2010185
00958	200,5,18.4008000,-66.1589000
00959	200,5,18.3910115,-66.1355775
00960	200,5,18.4008000,-66.1589000
00961	200,5,18.4163732,-66.1593732
00962	200,5,18.1103000,-66.1700000
00963	200,5,18.1103000,-66.1700000
00965	200,5,18.4298893,-66.1147571
00966	200,5,18.4029199,-66.1207057
00968	200,5,18.4061035,-66.1028601
00969	200,5,18.3434538,-66.1117828
00970	200, 5, 18.3596, -66.1116
00971	200,5,18.4255279,-66.1132699
00975	200,5,18.4683000,-66.1064000
00976	200,5,18.3102498,-65.9868798
00977	200,5,18.3569000,-66.0076000
00978	200,5,18.3703000,-66.0123000
00979	200,5,18.4307000,-66.0166157
00981	200,5,18.4683000,-66.1064000
00982	200,5,18.4140512,-65.9958004
00983	200,5,18.4465350,-65.9690392
00984	200,5,18.3828000,-65.9578000
00985	200,5,18.4100710,-65.9452528
00986	200,5,18.3828000,-65.9578000
00987	200,5,18.3482767,-65.9393064
00988	200,5,18.3828000,-65.9578000
01001	200,5,42.0636956,-72.6269437
01002	200,5,42.3403799,-72.4968189
01003	200,5,42.3894234,-72.5278773
01004	200,5,42.3700000,-72.5300000
01005	200,5,42.4328338,-72.1179169
01007	200,5,42.2872433,-72.4021423
01008	200,5,42.1837035,-72.9696779
01009	200,5,42.2098302,-72.3455423
01010	200,5,42.1308479,-72.2008455
01011	200,5,42.3065317,-72.9578676
01012	200,5,42.3649850,-72.8397317
01013	200,5,42.1521342,-72.6092032
01014	200,5,42.1486000,-72.6085000
01020	200,5,42.1657788,-72.5737187
01021	200,5,42.1599999,-72.5900000
01022	200,5,42.1985692,-72.5382293
01026	200,5,42.4750049,-72.9342451
01027	200,5,42.3080572,-72.7806422
01028	200,5,42.0644337,-72.5086511
01029	200,5,42.1781264,-73.0434794
01030	200,5,42.0710458,-72.6742455
01031	200,5,42.3450240,-72.2245350
01032	200,5,42.4643749,-72.8338234
01033	200,5,42.2638890,-72.4968189
01034	200,5,42.0684029,-72.9696779
01035	200,5,42.3592048,-72.5559746
01036	200,5,42.0572887,-72.4021423
01037	200,5,42.3831886,-72.2245350
01038	200,5,42.3818468,-72.6092032
01039	200,5,42.4004160,-72.6978931
01040	200,5,42.2172092,-72.6269437
01041	200,5,42.2043000,-72.6167000
01050	200,5,42.2729153,-72.8633635
01053	200,5,42.3506122,-72.7156274
01054	200,5,42.4816448,-72.4849861
01056	200,5,42.1912926,-72.4613191
01057	200,5,42.0806976,-72.3074326
01059	200,5,42.3738000,-72.5205000
01060	200,5,42.3300374,-72.6446829
01061	200,5,42.3251000,-72.6418000
01062	200,5,42.3239585,-72.6978931
01063	200,5,42.3190726,-72.6395091
01066	200,5,42.4135078,-72.6247262
01068	200,5,42.3527571,-72.0349647
01069	200,5,42.1842549,-72.2955915
01070	200,5,42.5208988,-72.9224329
01071	200,5,42.1578479,-72.8633635
01072	200,5,42.4513995,-72.4139787
01073	200,5,42.2241420,-72.7333604
01074	200,5,42.3824000,-72.0998000
01075	200,5,42.2481415,-72.5796331
01077	200,5,42.0472287,-72.7688226
01079	200,5,42.1956412,-72.3296331
01080	200,5,42.1792221,-72.3695895
01081	200,5,42.0579166,-72.2245350
01082	200,5,42.2722482,-72.3074326
01083	200,5,42.2174771,-72.2112099
01084	200,5,42.3665539,-72.8810859
01085	200,5,42.1318779,-72.7570024
01086	200,5,42.1253000,-72.7501000
01088	200,5,42.3930691,-72.6505957
01089	200,5,42.1249932,-72.6505957
01090	200,5,42.1100000,-72.6200000
01092	200,5,42.2064160,-72.2393399
01093	200,5,42.4399000,-72.6353000
01094	200,5,42.3522714,-72.1430942
01095	200,5,42.1300574,-72.4376499
01096	200,5,42.3845592,-72.7806422
01097	200,5,42.1594000,-72.8751000
01098	200,5,42.4063448,-72.9224329
01101	200,5,42.1066368,-72.5962667
01102	200,5,42.1015000,-72.5905000
01103	200,5,42.1052180,-72.5929401
01104	200,5,42.1429014,-72.5500596
01105	200,5,42.1033726,-72.5811117
01106	200,5,42.0563230,-72.5796331
01107	200,5,42.1214120,-72.6121601
01108	200,5,42.0843071,-72.5589320
01109	200,5,42.1237147,-72.5500596
01111	200,5,42.1173390,-72.5481187
01114	200,5,42.1015000,-72.5905000
01115	200,5,42.1015000,-72.5905000
01116	200,5,42.0500000,-72.5800000
01118	200,5,42.0930714,-72.5382293
01119	200,5,42.1277525,-72.5145670
01128	200,5,42.0971896,-72.4879444
01129	200,5,42.1144473,-72.4909026
01133	200,5,42.1015000,-72.5905000
01138	200,5,42.1015000,-72.5905000
01139	200,5,42.1015000,-72.5905000
01144	200,5,42.1017510,-72.5909071
01151	200,5,42.1546691,-72.5027350
01152	200,5,42.1512267,-72.5190038
01199	200,5,42.1262226,-72.6103121
01201	200,5,42.4634503,-73.3001233
01202	200,5,42.4501000,-73.2456000
01203	200,5,42.4501000,-73.2456000
01220	200,5,42.6258790,-73.1113560
01222	200,5,42.0583031,-73.3178120
01223	200,5,42.3202643,-73.1113560
01224	200,5,42.5067091,-73.1983856
01225	200,5,42.5645265,-73.1467619
01226	200,5,42.4881907,-73.1467619
01227	200,5,42.4700000,-73.1700000
01229	200,5,42.2810332,-73.3369732
01230	200,5,42.2021730,-73.3472901
01235	200,5,42.4279279,-73.0641396
01236	200,5,42.2746383,-73.3826585
